,,event,position,timestamp,status,rate
122,13,1,355,437,0,1
122,14,0,355,451,1,1
122,15,1,458,554,0,1
122,16,0,458,567,1,1
123,0,0,0,2,1,1
123,1,1,76,77,0,1
123,2,0,76,111,1,1
123,3,2,139,181,1,1
123,4,1,140,182,0,1
123,5,0,140,188,1,1
123,6,1,192,240,0,1
123,7,0,192,278,1,1
123,8,1,253,339,0,1
123,9,0,253,346,1,1
123,10,1,263,355,0,1
123,11,0,263,384,1,1
124,0,0,0,1,1,1
124,1,3,454,374,1,1
125,0,0,0,1,1,1
125,1,3,313,259,1,1
126,0,0,0,1,1,1
126,1,2,93,103,1,1
126,2,1,93,103,0,1
126,3,0,93,109,1,1
126,4,1,121,137,0,1
126,5,0,121,181,1,1
126,6,1,137,197,0,1
126,7,0,137,199,1,1
126,8,1,220,283,0,1
126,9,0,220,288,1,1
126,10,1,250,317,0,1
126,11,0,250,337,1,1
126,12,1,277,364,0,1
126,13,0,277,423,1,1
126,14,2,304,461,1,1
126,15,1,304,462,0,1
126,16,0,304,490,1,1
126,17,2,349,540,1,1
126,18,1,349,540,0,1
126,19,0,349,543,1,1
126,20,2,342,575,1,1
126,21,2,328,580,1,1
126,22,3,342,582,1,1
126,23,1,343,583,0,1
126,24,3,373,590,0,1
126,25,2,420,643,0,1
126,26,1,422,645,0,1
126,27,0,422,655,1,1
126,28,1,464,698,0,1
126,29,0,464,722,1,1
126,30,1,477,735,0,1
126,31,0,477,740,1,1
126,32,1,494,757,0,1
126,33,0,494,763,1,1
126,34,1,551,820,0,1
126,35,2,542,865,0,1
126,36,2,533,870,0,1
126,37,1,551,889,0,1
126,38,3,574,952,0,1
126,39,2,547,957,0,1
126,40,2,575,1002,0,1
126,41,2,560,1009,0,1
126,42,1,571,1020,0,1
126,43,0,571,1048,1,1
126,44,1,613,1090,0,1
126,45,0,613,1104,1,1
126,46,1,643,1134,0,1
