,,event,position,timestamp,status,rate
118,1,1,38,63,0,1.0
118,2,2,58,79,0,1.0
118,3,0,59,106,1,1.0
118,4,0,92,363,1,1.0
118,5,0,102,411,1,1.0
118,6,1,168,473,0,1.0
118,7,0,168,520,1,1.0
118,8,1,343,694,0,1.0
118,9,6,149,455,1,1.0
119,0,1,28,26,0,1.0
119,1,1,30,37,0,1.0
119,2,0,43,70,1,1.0
119,3,1,44,71,0,1.0
119,4,1,46,77,0,1.0
119,5,1,51,91,0,1.0
119,6,0,51,98,1,1.0
119,7,0,56,726,1,1.0
119,8,1,91,757,0,1.0
119,9,0,91,1095,1,1.0
119,10,1,119,1118,0,1.0
119,11,0,119,1150,1,1.0
119,12,0,135,1165,1,1.0
119,13,1,139,1168,0,1.0
119,14,1,158,1226,0,1.0
119,15,0,158,1308,1,1.0
119,16,2,156,1326,1,1.0
119,17,2,139,1331,1,1.0
119,18,1,139,1332,0,1.0
119,19,3,180,1340,0,1.0
119,20,1,224,1378,0,1.0
119,21,3,255,1383,1,1.0
119,22,0,255,1385,1,1.0
119,23,1,285,1388,0,1.0
119,24,0,285,1390,1,1.0
119,25,0,305,1410,1,1.0
119,26,1,308,1413,0,1.0
119,27,0,308,1417,1,1.0
119,28,1,317,1424,0,1.0
119,29,0,0,1428,1,1.0
119,30,4,8,10,1,1.25
120,0,0,0,3,1,1
120,1,3,264,185,1,1
121,0,0,0,3,1,1
121,1,0,16,26,1,1
121,2,0,19,36,1,1
121,3,0,93,184,1,1
121,4,0,98,208,1,1
121,5,0,126,317,1,1
121,6,0,171,518,1,1
121,7,0,259,657,1,1
122,0,0,0,1,1,1
122,1,0,41,54,1,1
123,0,0,0,1,1,1
123,1,0,83,99,1,1
124,0,0,0,1,1,1
125,0,0,0,1,1,1
125,1,0,26,548,1,1
126,0,0,0,1,1,1
127,0,0,0,1,1,1
127,1,2,126,137,0,1
127,2,1,120,154,0,1
127,3,0,120,255,1,1
127,4,1,225,360,0,1
127,5,0,225,509,1,1
127,6,0,271,557,1,1
127,7,1,277,563,0,1
127,8,0,277,689,1,1
127,9,1,381,793,0,1
127,10,0,381,838,1,1
127,11,1,529,986,0,1
127,12,0,529,1011,1,1
127,13,1,669,1150,0,1
127,14,0,669,1239,1,1
128,0,0,0,2,1,1
128,1,2,39,76,1,1
128,2,3,79,87,1,1
128,3,1,123,127,0,1
128,4,0,123,150,1,1
128,5,1,212,255,0,1
128,6,0,212,289,1,1
128,7,1,219,296,0,1
128,8,0,219,318,1,1
128,9,2,297,414,1,1
128,10,2,399,528,1,1
128,11,1,712,840,0,1
128,12,0,712,878,1,1
129,0,0,1,2,1,1
129,1,0,3,10,1,1
129,2,0,62,77,1,1
129,3,2,116,140,1,1
129,4,0,119,153,1,1
129,5,0,164,288,1,1
129,6,1,320,454,0,1
129,7,0,320,458,1,1
129,8,2,486,636,1,1
129,9,1,494,644,0,1
129,10,0,494,667,1,1
130,0,0,0,1,1,1
130,1,0,63,75,1,1
130,2,0,200,256,1,1
130,3,0,265,353,1,1
130,4,1,318,411,0,1
130,5,0,318,493,1,1
131,0,0,0,4,1,1
132,0,0,0,1,1,1
132,1,0,158,186,1,1
132,2,0,258,299,1,1
132,3,0,292,355,1,1
132,4,1,309,378,0,1
